Unit ID,Unit Name,Unit name local script,Fuel type,Unit type,Country/Area,"Subnational unit (province, state)",Latitude,Longitude,Location accuracy,Status,Status year,Discovery year,Production start year,Operator,Owner,Parent,Onshore/Offshore,Production Type,Wiki URL
OG0013479,Heward S Frobisher,,oil,pool,Canada,Saskatchewan,49.709,-103.211,exact,operating,2017,1965,,,,,Onshore,Unknown,"https://www.gem.wiki/Heward_S_Frobisher_Oil_Pool_(Saskatchewan,_Canada)"
OG0013484,Hillmond Sparky,,oil,pool,Canada,Saskatchewan,53.427,-109.687,exact,operating,2023,1977,,,,,Onshore,Unknown,"https://www.gem.wiki/Hillmond_Sparky_Oil_Pool_(Saskatchewan,_Canada)"
OG0013485,Hitchcock Winnipegosis,,oil,pool,Canada,Saskatchewan,49.249,-103.101,exact,operating,2023,1988,,,,,Onshore,Unknown,"https://www.gem.wiki/Hitchcock_Winnipegosis_Oil_Pool_(Saskatchewan,_Canada)"
OG0013486,Hoffer Ratcliffe,,oil,pool,Canada,Saskatchewan,49.081,-103.959,exact,operating,2023,1964,,,,,Onshore,Unknown,"https://www.gem.wiki/Hoffer_Ratcliffe_Oil_Pool_(Saskatchewan,_Canada)"
OG0013487,Hoosier Bakken,,oil,pool,Canada,Saskatchewan,51.646,-109.754,exact,operating,2023,1973,,,,,Onshore,Unknown,"https://www.gem.wiki/Hoosier_Bakken_Oil_Pool_(Saskatchewan,_Canada)"
OG0013488,Hoosier E Bakken,,oil,pool,Canada,Saskatchewan,51.634,-109.59,exact,operating,2017,1985,,,,,Onshore,Unknown,"https://www.gem.wiki/Hoosier_E_Bakken_Oil_Pool_(Saskatchewan,_Canada)"
OG0013489,Hoosier N Viking,,gas,pool,Canada,Saskatchewan,51.764,-109.864,exact,operating,2023,,,,,,Onshore,Unknown,"https://www.gem.wiki/Hoosier_N_Viking_Gas_Pool_(Saskatchewan,_Canada)"
OG0013491,Hoosier Viking,,gas,pool,Canada,Saskatchewan,51.631,-109.717,exact,operating,2023,,,,,,Onshore,Unknown,"https://www.gem.wiki/Hoosier_Viking_Gas_Pool_(Saskatchewan,_Canada)"
OG0013494,Hume Midale,,oil,pool,Canada,Saskatchewan,49.609,-103.588,exact,operating,2023,1967,,,,,Onshore,Unknown,"https://www.gem.wiki/Hume_Midale_Oil_Pool_(Saskatchewan,_Canada)"
OG0013496,Hummingbird Ratcliffe,,oil,pool,Canada,Saskatchewan,49.153,-104.442,exact,shut in,2023,1966,,,,,Onshore,Unknown,"https://www.gem.wiki/Hummingbird_Ratcliffe_Oil_Pool_(Saskatchewan,_Canada)"
